Servo Motion,Servo Position,Flex Sensor Value,EMG Sensor Value,EMG Sensor Voltage
Finger Closing,115,416,54,263.93
Finger Closing,116,416,51,249.27
Finger Closing,117,415,60,293.26
Finger Closing,118,413,54,263.93
Finger Closing,119,408,73,356.79
Finger Closing,120,402,91,444.77
Finger Closing,121,397,67,327.47
Finger Closing,122,402,66,322.58
Finger Closing,123,404,70,342.13
Finger Closing,124,396,65,317.69
Finger Closing,125,389,65,317.69
Finger Closing,126,399,89,435
Finger Closing,127,396,83,405.67
Finger Closing,128,394,125,610.95
Finger Closing,129,407,92,449.66
Finger Closing,130,405,143,698.92
Finger Closing,131,403,107,522.97
Finger Closing,132,402,101,493.65
Finger Closing,133,399,87,425.22
Finger Closing,134,398,135,659.82
Finger Closing,135,397,97,474.1
Finger Closing,136,385,118,576.74
Finger Closing,137,392,103,503.42
Finger Closing,138,391,113,552.3
Finger Closing,139,389,90,439.88
Finger Closing,140,387,101,493.65
Finger Closing,141,386,78,381.23
Finger Closing,142,384,93,454.55
Finger Closing,143,383,132,645.16
Finger Closing,144,382,169,826
Finger Closing,145,380,187,913.98
Finger Closing,146,378,201,982.4
Finger Closing,147,376,234,1143.69
Finger Closing,148,375,202,987.29
Finger Closing,149,371,215,1050.83
Finger Closing,150,370,184,899.32
Finger Closing,151,367,193,943.3
Finger Closing,152,367,174,850.44
Finger Closing,153,361,208,1016.62
Finger Closing,154,359,175,855.33
Finger Closing,155,356,243,1187.68
Finger Closing,156,352,207,1011.73
Finger Closing,157,351,240,1173.02
Finger Closing,158,346,199,972.63
Finger Closing,159,344,178,869.99
Finger Closing,160,341,165,806.45
Finger Closing,161,337,156,762.46
Finger Closing,162,335,158,772.24
Finger Closing,163,335,139,679.37
Finger Closing,164,333,134,654.94
Finger Closing,165,332,124,606.06
Finger Closing,166,332,103,503.42
Finger Closing,167,332,98,478.98
Finger Closing,168,329,80,391.01
Finger Closing,169,329,78,381.23
Finger Closing,170,329,79,386.12
Finger Opening,170,330,69,337.24
Finger Opening,169,330,64,312.81
Finger Opening,168,330,58,283.48
Finger Opening,167,330,50,244.38
Finger Opening,166,331,43,210.17
Finger Opening,165,331,36,175.95
Finger Opening,164,330,36,175.95
Finger Opening,163,332,38,185.73
Finger Opening,162,332,86,420.33
Finger Opening,161,333,73,356.79
Finger Opening,160,333,73,356.79
Finger Opening,159,334,105,513.2
Finger Opening,158,334,143,698.92
Finger Opening,157,336,151,738.03
Finger Opening,156,336,149,728.25
Finger Opening,155,338,175,855.33
Finger Opening,154,338,169,826
Finger Opening,153,340,174,850.44
Finger Opening,152,341,144,703.81
Finger Opening,151,345,152,742.91
Finger Opening,150,347,128,625.61
Finger Opening,149,341,114,557.18
Finger Opening,148,353,104,508.31
Finger Opening,147,349,120,586.51
Finger Opening,146,351,114,557.18
Finger Opening,145,352,141,689.15
Finger Opening,144,353,122,596.29
Finger Opening,143,354,162,791.79
Finger Opening,142,353,170,830.89
Finger Opening,141,356,204,997.07
Finger Opening,140,345,179,874.88
Finger Opening,139,358,191,933.53
Finger Opening,138,360,182,889.54
Finger Opening,137,360,163,796.68
Finger Opening,136,362,195,953.08
Finger Opening,135,363,202,987.29
Finger Opening,134,365,295,1441.84
Finger Opening,133,367,259,1265.88
Finger Opening,132,370,231,1129.03
Finger Opening,131,372,177,865.1
Finger Opening,130,374,185,904.2
Finger Opening,129,374,151,738.03
Finger Opening,128,375,141,689.15
Finger Opening,127,376,129,630.5
Finger Opening,126,378,143,698.92
Finger Opening,125,380,130,635.39
Finger Opening,124,384,149,728.25
Finger Opening,123,386,153,747.8
Finger Opening,122,387,128,625.61
Finger Opening,121,388,139,679.37
Finger Opening,120,390,123,601.17
Finger Opening,119,389,146,713.59
Finger Opening,118,389,141,689.15
Finger Opening,117,389,165,806.45
Finger Opening,116,390,163,796.68
Finger Opening,115,390,165,806.45
Finger Opening,114,389,145,708.7
Finger Opening,113,391,165,806.45
Finger Opening,112,390,151,738.03
Finger Opening,111,391,153,747.8
Finger Opening,110,392,214,1045.94
Finger Opening,109,392,199,972.63
Finger Opening,108,393,156,762.46
Finger Opening,107,389,141,689.15
Finger Opening,106,394,141,689.15
Finger Opening,105,395,133,650.05
Finger Opening,104,395,137,669.6
Finger Opening,103,395,135,659.82
Finger Opening,102,395,131,640.27
Finger Opening,101,396,124,606.06
Finger Opening,100,397,136,664.71
Finger Opening,99,398,122,596.29
Finger Opening,98,401,132,645.16
Finger Opening,97,401,129,630.5
Finger Opening,96,401,120,586.51
Finger Opening,95,402,118,576.74
Finger Opening,94,401,98,478.98
Finger Opening,93,402,84,410.56
Finger Opening,92,403,114,557.18
Finger Opening,91,402,90,439.88
Finger Opening,90,401,96,469.21
Finger Closing,90,402,91,444.77
Finger Closing,91,402,93,454.55
Finger Closing,92,402,87,425.22
Finger Closing,93,403,82,400.78
Finger Closing,94,403,66,322.58
Finger Closing,95,404,63,307.92
Finger Closing,96,404,53,259.04
Finger Closing,97,404,50,244.38
Finger Closing,98,405,48,234.6
Finger Closing,99,405,40,195.5
Finger Closing,100,406,61,298.14
Finger Closing,101,405,56,273.7
Finger Closing,102,406,80,391.01
Finger Closing,103,405,79,386.12
Finger Closing,104,404,97,474.1
Finger Closing,105,404,74,361.68
Finger Closing,106,403,86,420.33
Finger Closing,107,402,66,322.58
Finger Closing,108,402,87,425.22
Finger Closing,109,402,72,351.91
Finger Closing,110,401,67,327.47
Finger Closing,111,401,81,395.89
Finger Closing,112,401,67,327.47
Finger Closing,113,401,72,351.91
Finger Closing,114,400,75,366.57
Finger Closing,115,400,75,366.57
Finger Closing,116,399,67,327.47
Finger Closing,117,397,67,327.47
Finger Closing,118,394,54,263.93
Finger Closing,119,387,61,298.14
Finger Closing,120,393,73,356.79
Finger Closing,121,391,76,371.46
Finger Closing,122,389,62,303.03
Finger Closing,123,388,63,307.92
Finger Closing,124,386,68,332.36
Finger Closing,125,384,58,283.48
Finger Closing,126,382,57,278.59
Finger Closing,127,381,58,283.48
Finger Closing,128,382,50,244.38
Finger Closing,129,379,54,263.93
Finger Closing,130,379,49,239.49
Finger Closing,131,377,43,210.17
Finger Closing,132,376,40,195.5
Finger Closing,133,378,55,268.82
Finger Closing,134,379,51,249.27
Finger Closing,135,370,58,283.48
Finger Closing,136,370,48,234.6
Finger Closing,137,368,68,332.36
Finger Closing,138,367,57,278.59
Finger Closing,139,356,53,259.04
Finger Closing,140,363,43,210.17
Finger Closing,141,361,52,254.15
Finger Closing,142,360,50,244.38
Finger Closing,143,358,56,273.7
Finger Closing,144,357,51,249.27
Finger Closing,145,356,48,234.6
Finger Closing,146,355,47,229.72
Finger Closing,147,354,44,215.05
Finger Closing,148,353,44,215.05
Finger Closing,149,352,41,200.39
Finger Closing,150,351,38,185.73
Finger Closing,151,350,33,161.29
Finger Closing,152,349,28,136.85
Finger Closing,153,348,38,185.73
Finger Closing,154,346,53,259.04
Finger Closing,155,344,44,215.05
Finger Closing,156,344,35,171.07
Finger Closing,157,343,32,156.4
